TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
2.0000,2015-07-24,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-07-24,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-10-27,2015,10,44,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-15,2015,8,33,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-07-09,2015,7,28,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-30,2015,8,35,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-30,2015,8,35,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-15,2015,7,29,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-04,2015,7,27,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-01,2015,8,31,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-01,2015,8,31,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-02-13,2015,2,7,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-08-19,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-08-19,2015,8,34,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-25,2015,3,13,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-10-24,2015,10,43,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-11-23,2015,11,48,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-10-25,2015,10,43,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-19,2015,9,38,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-12-18,2015,12,51,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-12-17,2015,12,51,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-05-05,2015,5,19,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-04-27,2015,4,18,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-10,2015,4,15,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-21,2015,3,12,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
1.0000,2015-09-04,2015,9,36,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-06-23,2015,6,26,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-21,2015,7,30,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-07-04,2015,7,27,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.0000,2015-10-24,2015,10,43,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-19,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-04-19,2015,4,16,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-03-25,2015,3,13,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
2.2500,2015-09-12,2015,9,37,NLACTIONNE,ACTION SERVICE & DISTRIBUTIE BV,OCE
